organization	organ	organization
think	think	think
that	that	that
the	the	the
real	real	real
reason	reason	reason
to	to	to
have	have	have
a	a	a
moon	moon	moon
base	base	base
is	is	is
economic	econom	economic
.	.	.

>	>	>
>	>	>
since	sinc	since
someone	someon	someone
with	with	with
space	space	space
industry	industri	industry
will	will	will
presumeably	presum	presumeably
have	have	have
a	a	a
much	much	much

>	>	>
>	>	>
larger	larger	larger
gnp	gnp	gnp
than	than	than
they	they	they
would	would	would
_without_	_without_	_without_
space	space	space
industry	industri	industry
,	,	,
eventually	eventu	eventually
,	,	,
>	>	>
>	>	>
they	they	they
will	will	will
simply	simpli	simply
be	be	be
able	abl	able
to	to	to
afford	afford	afford
more	more	more
stuff	stuff	stuff
.	.	.

>	>	>

>	>	>
if	if	if
i	i	i
read	read	read
you	you	you
right	right	right
,	,	,
you	you	you
'	'	'
re	re	re
saying	say	saying
in	in	in
essence	essenc	essence
that	that	that
,	,	,
with	with	with
a	a	a
larger	larger	larger

>	>	>
economy	economi	economy
,	,	,
nations	nation	nation
will	will	will
have	have	have
more	more	more
discretionary	discretionari	discretionary
funds	fund	fund
to	to	to
*	*	*
waste	wast	waste
*	*	*

>	>	>
on	on	on
a	a	a
lunar	lunar	lunar
facility	facil	facility
.	.	.

that	that	that
was	was	wa
certainly	certain	certainly
partially	partial	partially
the	the	the
case	case	case
with	with	with
apollo	apollo	apollo
,	,	,
>	>	>
but	but	but
real	real	real
lunar	lunar	lunar
colonies	coloni	colony
will	will	will
probably	probabl	probably
require	requir	require
a	a	a
continuing	continu	continuing
military	militari	military
,	,	,
>	>	>
scientific	scientif	scientific
,	,	,
or	or	or
commercial	commerci	commercial
reason	reason	reason
for	for	for
being	be	being
rather	rather	rather
than	than	than
just	just	just
a	a	a
"	"	"
we	we	we
have	have	have

>	>	>
the	the	the
money	money	money
,	,	,
why	whi	why
not	not	not
?	?	?
"	"	"
approach	approach	approach
.	.	.

i	i	i
was	was	wa
assuming	assum	assuming
that	that	that
there	there	there
won	won	won
'	'	'
t	t	t
be	be	be
a	a	a
moon	moon	moon
base	base	base
unless	unless	unless
it	it	it
makes	make	make
a	a	a
profit	profit	profit
,	,	,
actually	actual	actually
.	.	.

if	if	if
it	it	it
does	doe	doe
,	,	,
well	well	well
,	,	,
that	that	that
gives	give	give
a	a	a
larger	larger	larger
gnp	gnp	gnp
which	which	which
leads	lead	lead
to	to	to
being	be	being
able	abl	able
to	to	to
spend	spend	spend
more	more	more
money	money	money
on	on	on
your	your	your
military	militari	military
,	,	,
including	includ	including
gosh	gosh	gosh
-	-	-
wow	wow	wow
space	space	space
stuff	stuff	stuff
.	.	.

(	(	(
assuming	assum	assuming
it	it	it
'	'	'
s	s	s
profitable	profit	profitable
,	,	,
rather	rather	rather
than	than	than
paying	pay	paying
for	for	for
itself	itself	itself
.	.	.
)	)	)

>	>	>

>	>	>
it	it	it
'	'	'
s	s	s
conceivable	conceiv	conceivable
that	that	that
luna	luna	luna
will	will	will
have	have	have
a	a	a
military	militari	military
purpose	purpos	purpose
,	,	,
it	it	it
'	'	'
s	s	s
possible	possibl	possible

>	>	>
that	that	that
luna	luna	luna
will	will	will
have	have	have
a	a	a
commercial	commerci	commercial
purpose	purpos	purpose
,	,	,
but	but	but
it	it	it
'	'	'
s	s	s
most	most	most
likely	like	likely
that	that	that

>	>	>
luna	luna	luna
will	will	will
only	onli	only
have	have	have
a	a	a
scientific	scientif	scientific
purpose	purpos	purpose
for	for	for
the	the	the
next	next	next
several	sever	several
hundred	hundr	hundred

>	>	>
years	year	year
at	at	at
least	least	least
.	.	.

therefore	therefor	therefore
,	,	,
lunar	lunar	lunar
bases	base	base
should	should	should
be	be	be
predicated	predic	predicated
on	on	on
funding	fund	funding

>	>	>
levels	level	level
little	littl	little
different	differ	different
from	from	from
those	those	those
found	found	found
for	for	for
antarctic	antarct	antarctic
bases	base	base
.	.	.

can	can	can
you	you	you

>	>	>
put	put	put
a	a	a
200	200	200
person	person	person
base	base	base
on	on	on
the	the	the
moon	moon	moon
for	for	for
$	$	$
30	30	30
million	million	million
a	a	a
year	year	year
?	?	?

even	even	even
if	if	if
you	you	you

>	>	>
use	use	use
grad	grad	grad
students	student	student
?	?	?

you	you	you
might	might	might
be	be	be
able	abl	able
to	to	to
_run_	_run_	_run_
one	one	one
for	for	for
that	that	that
;	;	;
put	put	put
it	it	it
there	there	there
,	,	,
hardly	hard	hardly
.	.	.

why	whi	why
do	do	do
you	you	you
think	think	think
at	at	at
least	least	least
a	a	a
couple	coupl	couple
centuries	centuri	century
before	befor	before
there	there	there
will	will	will
be	be	be
significant	signific	significant
commerical	commer	commerical
activity	activ	activity
on	on	on
the	the	the
moon	moon	moon
?	?	?

graydon	graydon	graydon
