x	x	x
on	on	on
duty	duti	duty
,	,	,
or	or	or
off	off	off
-	-	-
duty	duti	duty
?	?	?

doesnot	doesnot	doesnot
matter	matter	matter
if	if	if
the	the	the
army	armi	army
man	man	man
was	was	wa
on	on	on
duty	duti	duty
or	or	or
on	on	on
a	a	a

#	#	#
vacation	vacat	vacation
week	week	week
.	.	.

#	#	#
soldier	soldier	soldier
to	to	to
be	be	be
,	,	,
or	or	or
not	not	not
?	?	?

sure	sure	sure
i	i	i
meant	meant	meant
only	onli	only
military	militari	military
men	men	men
.	.	.

just	just	just
trying	tri	trying
to	to	to
get	get	get
this	this	this
clear	clear	clear
,	,	,
so	so	so
please	pleas	please
bear	bear	bear
with	with	with
me	me	me
.	.	.

as	as	a
far	far	far
as	as	a

i	i	i
can	can	can
tell	tell	tell
,	,	,
you	you	you
'	'	'
re	re	re
proposing	propos	proposing
the	the	the
following	follow	following
rules	rule	rule
of	of	of
engagement	engag	engagement

between	between	between
israel	israel	israel
and	and	and
the	the	the
palestinean	palestinean	palestinean
resistance	resist	resistance
.	.	.

please	pleas	please
feel	feel	feel

revise	revis	revise
this	this	this
preliminary	preliminari	preliminary
draft	draft	draft
as	as	a
necessary	necessari	necessary
:	:	:

1	1	1
)	)	)
israeli	isra	israeli
military	militari	military
personnel	personnel	personnel
are	are	are
fair	fair	fair
game	game	game
at	at	at
any	ani	any
time	time	time
,	,	,
in	in	in
uniform	uniform	uniform

or	or	or
out	out	out
,	,	,
on	on	on
duty	duti	duty
or	or	or
off	off	off
.	.	.

in	in	in
practice	practic	practice
,	,	,
since	sinc	since
any	ani	any
male	male	male
or	or	or
female	femal	female

israeli	isra	israeli
of	of	of
military	militari	military
age	age	age
(	(	(
18	18	18
-	-	-
?	?	?
)	)	)
may	may	may
be	be	be
off	off	off
-	-	-
duty	duti	duty
military	militari	military
,	,	,
all	all	all
but	but	but

young	young	young
children	children	child
are	are	are
acceptable	accept	acceptable
targets	target	target
.	.	.

since	sinc	since
the	the	the
existence	exist	existence
of	of	of

israel	israel	israel
constitutes	constitut	constitutes
indication	indic	indication
of	of	of
hostile	hostil	hostile
intent	intent	intent
,	,	,
no	no	no
further	further	further

provocation	provoc	provocation
is	is	is
required	requir	required
.	.	.

2	2	2
)	)	)
to	to	to
avoid	avoid	avoid
inpermissable	inpermiss	inpermissable
violations	violat	violation
of	of	of
the	the	the
rights	right	right
of	of	of
non	non	non
-	-	-
combatant	combat	combatant

palestineans	palestinean	palestineans
,	,	,
israeli	isra	israeli
forces	forc	force
must	must	must
not	not	not
engage	engag	engage
palestineans	palestinean	palestineans

without	without	without
positive	posit	positive
identification	identif	identification
as	as	a
military	militari	military
personnel	personnel	personnel
,	,	,
clear	clear	clear

indication	indic	indication
of	of	of
aggressive	aggress	aggressive
intent	intent	intent
,	,	,
and	and	and
a	a	a
clear	clear	clear
field	field	field
of	of	of
fire	fire	fire
.	.	.

a	a	a
)	)	)
positive	posit	positive
identification	identif	identification
may	may	may
be	be	be
assured	assur	assured
by	by	by
either	either	either
checking	check	checking
for	for	for

palestinean	palestinean	palestinean
military	militari	military
uniform	uniform	uniform
,	,	,
by	by	by
posession	posess	posession
of	of	of
exclusively	exclus	exclusively

military	militari	military
armament	armament	armament
(	(	(
ie	ie	ie
,	,	,
t78	t78	t78
mbts	mbts	mbts
or	or	or
mig	mig	mig
-	-	-
29	29	29
aircraft	aircraft	aircraft
)	)	)
,	,	,
or	or	or

self	self	self
-	-	-
identification	identif	identification
(	(	(
either	either	either
verbal	verbal	verbal
or	or	or
documentary	documentari	documentary
)	)	)
.	.	.

note	note	note

that	that	that
dual	dual	dual
-	-	-
use	use	use
military	militari	military
/	/	/
civilian	civilian	civilian
weaponry	weaponri	weaponry
such	such	such
as	as	a
hand	hand	hand
grenades	grenad	grenade
,	,	,
ak	ak	ak
-	-	-
47	47	47
rifles	rifl	rifle
,	,	,
and	and	and
rpg	rpg	rpg
launchers	launcher	launcher
do	do	do
not	not	not
constitute	constitut	constitute
positive	posit	positive

military	militari	military
identification	identif	identification
and	and	and
require	requir	require
closer	closer	closer
inspection	inspect	inspection
such	such	such

as	as	a
document	document	document
checks	check	check
.	.	.

b	b	b
)	)	)
aggressive	aggress	aggressive
intent	intent	intent
(	(	(
as	as	a
distinct	distinct	distinct
from	from	from
merely	mere	merely
'	'	'
hostile	hostil	hostile
'	'	'
intent	intent	intent
,	,	,
which	which	which
is	is	is
the	the	the
normal	normal	normal
condition	condit	condition
)	)	)
may	may	may
be	be	be
assured	assur	assured
by	by	by
not	not	not
less	less	less

than	than	than
three	three	three
rounds	round	round
of	of	of
incoming	incom	incoming
fire	fire	fire
separated	separ	separated
by	by	by
intervals	interv	interval

of	of	of
not	not	not
less	less	less
than	than	than
ten	ten	ten
seconds	second	second
between	between	between
rounds	round	round
.	.	.

note	note	note
that	that	that
a	a	a

single	singl	single
burst	burst	burst
of	of	of
automatic	automat	automatic
-	-	-
weapon	weapon	weapon
fire	fire	fire
counds	cound	counds
as	as	a
one	one	one
round	round	round
,	,	,
as	as	a
does	doe	doe
a	a	a
volley	volley	volley
of	of	of
rocket	rocket	rocket
fire	fire	fire
from	from	from
more	more	more
than	than	than
one	one	one
source	sourc	source
.	.	.

as	as	a
noted	note	noted
above	abov	above
,	,	,
dual	dual	dual
-	-	-
use	use	use
weaponry	weaponri	weaponry
may	may	may
not	not	not
be	be	be
assumed	assum	assumed
to	to	to

originate	origin	originate
from	from	from
military	militari	military
personnel	personnel	personnel
,	,	,
and	and	and
thus	thus	thus
do	do	do
not	not	not
justify	justifi	justify

armed	arm	armed
response	respons	response
.	.	.

c	c	c
)	)	)
a	a	a
clear	clear	clear
field	field	field
of	of	of
fire	fire	fire
can	can	can
be	be	be
guaranteed	guarante	guaranteed
by	by	by
making	make	making
a	a	a
positive	posit	positive

military	militari	military
identification	identif	identification
of	of	of
all	all	all
personnel	personnel	personnel
in	in	in
the	the	the
target	target	target
area	area	area
of	of	of

the	the	the
weapons	weapon	weapon
to	to	to
be	be	be
used	use	used
.	.	.

note	note	note
that	that	that
aggressive	aggress	aggressive
intent	intent	intent
need	need	need
not	not	not

be	be	be
proven	proven	proven
for	for	for
all	all	all
possible	possibl	possible
targets	target	target
.	.	.

thus	thus	thus
,	,	,
if	if	if
iaf	iaf	iaf
aircraft	aircraft	aircraft

are	are	are
attacked	attack	attacked
by	by	by
a	a	a
sam	sam	sam
crew	crew	crew
it	it	it
is	is	is
not	not	not
necessary	necessari	necessary
to	to	to
check	check	check
the	the	the

papers	paper	paper
of	of	of
each	each	each
crew	crew	crew
member	member	member
so	so	so
long	long	long
as	as	a
none	none	none
are	are	are
obviously	obvious	obviously

civilians	civilian	civilian
(	(	(
as	as	a
indicated	indic	indicated
,	,	,
for	for	for
instance	instanc	instance
,	,	,
by	by	by
the	the	the
posession	posess	posession
of	of	of

uniquely	uniqu	uniquely
civilian	civilian	civilian
weaponry	weaponri	weaponry
such	such	such
as	as	a
stones	stone	stone
,	,	,
axes	axe	ax
,	,	,
and	and	and
molotov	molotov	molotov

coctails	coctail	coctails
.	.	.
)	)	)
since	sinc	since
it	it	it
is	is	is
often	often	often
difficult	difficult	difficult
for	for	for
iaf	iaf	iaf
elements	element	element
to	to	to

land	land	land
and	and	and
make	make	make
the	the	the
necessary	necessari	necessary
checks	check	check
,	,	,
ground	ground	ground
forces	forc	force
should	should	should

first	first	first
screen	screen	screen
prospective	prospect	prospective
strike	strike	strike
areas	area	area
before	befor	before
agm	agm	agm
fire	fire	fire
.	.	.

for	for	for
acm	acm	acm
purposes	purpos	purpose
,	,	,
a	a	a
cockpit	cockpit	cockpit
-	-	-
to	to	to
-	-	-
cockpit	cockpit	cockpit
pass	pass	pas
within	within	within
5	5	5
meters	meter	meter

is	is	is
usually	usual	usually
sufficient	suffici	sufficient
for	for	for
this	this	this
purpose	purpos	purpose
,	,	,
but	but	but
may	may	may
be	be	be
repeated	repeat	repeated

if	if	if
necessary	necessari	necessary
.	.	.

-	-	-
-	-	-
-	-	-
d	d	d
.	.	.
c	c	c
.	.	.
sessions	session	session
speaking	speak	speaking
for	for	for
myself	myself	myself
-	-	-
-	-	-
-	-	-

-	-	-
-	-	-
-	-	-
note	note	note
new	new	new
network	network	network
address	address	address
:	:	:
dcs@witsend.tnet.com	dcs@witsend.tnet.com	dcs@witsend.tnet.com
-	-	-
-	-	-
-	-	-

-	-	-
-	-	-
-	-	-
author	author	author
(	(	(
and	and	and
everything	everyth	everything
else	els	else
!	!	!
)	)	)
of	of	of
tmail	tmail	tmail
(	(	(
dos	dos	do
mail	mail	mail
/	/	/
news	news	news
shell	shell	shell
)	)	)
-	-	-
-	-	-
-	-	-
